column1,Category_Id,Customer_Id,Department_Id,Order_Customer_Id,Order_Id,Order_Item_Cardprod_Id,Order_Item_Id,Product_Card_Id,Product_Category_Id
0,73,20755,2,20755,77202,1360,180517,1360,73
1,73,19492,2,19492,75939,1360,179254,1360,73
2,73,19491,2,19491,75938,1360,179253,1360,73
3,73,19490,2,19490,75937,1360,179252,1360,73
4,73,19489,2,19489,75936,1360,179251,1360,73
5,73,19488,2,19488,75935,1360,179250,1360,73
6,73,19487,2,19487,75934,1360,179249,1360,73
7,73,19486,2,19486,75933,1360,179248,1360,73
8,73,19485,2,19485,75932,1360,179247,1360,73
9,73,19484,2,19484,75931,1360,179246,1360,73
10,73,19483,2,19483,75930,1360,179245,1360,73
11,73,19482,2,19482,75929,1360,179244,1360,73
12,73,19481,2,19481,75928,1360,179243,1360,73
13,73,19480,2,19480,75927,1360,179242,1360,73
14,73,19479,2,19479,75926,1360,179241,1360,73
15,73,19478,2,19478,75925,1360,179240,1360,73
16,73,19477,2,19477,75924,1360,179239,1360,73
17,73,19476,2,19476,75923,1360,179238,1360,73
18,73,19475,2,19475,75922,1360,179237,1360,73
19,73,19474,2,19474,75921,1360,179236,1360,73
20,73,19473,2,19473,75920,1360,179235,1360,73
21,73,19472,2,19472,75919,1360,179234,1360,73
22,73,19471,2,19471,75918,1360,179233,1360,73
23,73,19470,2,19470,75917,1360,179232,1360,73
24,73,19469,2,19469,75916,1360,179231,1360,73
25,73,19468,2,19468,75915,1360,179230,1360,73
26,73,19467,2,19467,75914,1360,179229,1360,73
27,73,19466,2,19466,75913,1360,179228,1360,73
28,73,19465,2,19465,75912,1360,179227,1360,73
29,73,19464,2,19464,75911,1360,179226,1360,73
30,73,19463,2,19463,75910,1360,179225,1360,73
31,73,19462,2,19462,75909,1360,179224,1360,73
32,73,19461,2,19461,75908,1360,179223,1360,73
33,73,19460,2,19460,75907,1360,179222,1360,73
34,73,19459,2,19459,75906,1360,179221,1360,73
35,73,19458,2,19458,75905,1360,179220,1360,73
36,73,19457,2,19457,75904,1360,179219,1360,73
37,73,19456,2,19456,75903,1360,179218,1360,73
38,73,19455,2,19455,75902,1360,179217,1360,73
39,73,19454,2,19454,75901,1360,179216,1360,73
40,73,19453,2,19453,75900,1360,179215,1360,73
41,73,19452,2,19452,75899,1360,179214,1360,73
42,73,19451,2,19451,75898,1360,179213,1360,73
43,73,19450,2,19450,75897,1360,179212,1360,73
44,73,19449,2,19449,75896,1360,179211,1360,73
45,73,19448,2,19448,75895,1360,179210,1360,73
46,73,19447,2,19447,75894,1360,179209,1360,73
47,73,19446,2,19446,75893,1360,179208,1360,73
48,17,9083,4,9083,28744,365,71956,365,17
49,29,4741,5,4741,45461,627,113598,627,29
50,24,639,5,639,31115,502,77757,502,24
51,29,9702,5,9702,45766,627,114401,627,29
52,24,9114,5,9114,47752,502,119405,502,24
53,24,1362,5,1362,50054,502,125135,502,24
54,24,8011,5,8011,20365,502,50842,502,24
55,13,3296,3,3296,36146,278,90273,278,13
56,12,3182,3,3182,41234,249,102921,249,12
57,17,7864,4,7864,32090,365,80250,365,17
58,17,11169,4,11169,34773,365,86866,365,17
59,9,5197,3,5197,44046,191,110025,191,9
60,29,1535,5,1535,46414,627,116033,627,29
61,41,6122,6,6122,46599,917,116462,917,41
62,37,9451,6,9451,48434,828,121134,828,37
63,9,542,3,542,12827,191,32072,191,9
64,9,11329,3,11329,63936,191,159828,191,9
65,9,3570,3,3570,65030,191,162548,191,9
66,17,650,4,650,18108,365,45253,365,17
67,17,9353,4,9353,62571,365,156394,365,17
68,17,54,4,54,17162,365,42919,365,17
69,17,12151,4,12151,65922,365,164735,365,17
70,24,11329,5,11329,63936,502,159829,502,24
71,29,10018,5,10018,64813,627,162007,627,29
72,24,3182,5,3182,67892,502,169747,502,24
73,41,4936,6,4936,12525,917,31344,917,41
74,9,8707,3,8707,5895,191,14664,191,9
75,17,1025,4,1025,56359,365,140970,365,17
76,17,8831,4,8831,58613,365,146701,365,17
77,17,10679,4,10679,7824,365,19564,365,17
78,17,5007,4,5007,7814,365,19544,365,17
79,17,5007,4,5007,7814,365,19542,365,17
80,17,9854,4,9854,60807,365,152161,365,17
81,17,376,4,376,53413,365,133456,365,17
82,24,5417,5,5417,7888,502,19707,502,24
83,29,10759,5,10759,6783,627,16956,627,29
84,24,8541,5,8541,56973,502,142502,502,24
85,24,10679,5,10679,7824,502,19563,502,24
86,24,3752,5,3752,55155,502,137932,502,24
87,24,4673,5,4673,5991,502,14921,502,24
88,24,5367,5,5367,2263,502,5671,502,24
89,24,5367,5,5367,2263,502,5669,502,24
90,24,10485,5,10485,53403,502,133427,502,24
91,29,9272,5,9272,51298,627,128201,627,29
92,24,647,5,647,4919,502,12307,502,24
93,29,6398,5,6398,52640,627,131580,627,29
94,29,4209,5,4209,6358,627,15921,627,29
95,24,8917,5,8917,57106,502,142841,502,24
96,24,7784,5,7784,6245,502,15634,502,24
97,29,1425,5,1425,52166,642,130341,642,29
98,29,2737,5,2737,56172,627,140494,627,29
99,24,6428,5,6428,55829,502,139611,502,24
100,24,6543,5,6543,52478,502,131161,502,24
101,29,3990,5,3990,57242,627,143183,627,29
102,24,8524,5,8524,3137,502,7805,502,24
103,24,9204,5,9204,60127,502,150464,502,24
104,29,11761,5,11761,3828,627,9521,627,29
105,24,9554,5,9554,60386,502,151122,502,24
106,29,5118,5,5118,973,627,2420,627,29
107,24,5506,5,5506,57999,502,145119,502,24
108,24,1423,5,1423,54585,502,136527,502,24
109,24,138,5,138,57598,502,144075,502,24
110,24,6360,5,6360,54274,502,135699,502,24
111,29,2053,5,2053,60673,627,151869,627,29
112,24,10344,5,10344,59387,502,148673,502,24
113,24,6398,5,6398,52640,502,131577,502,24
114,24,3375,5,3375,10007,502,24992,502,24
115,37,1339,6,1339,55984,818,139976,818,37
116,37,6543,6,6543,52478,825,131164,825,37
117,38,3990,6,3990,58375,306,146090,306,38
118,44,7247,7,7247,56448,977,141192,977,44
119,3,1273,2,1273,8221,44,20537,44,3
120,9,6277,3,6277,58034,191,145203,191,9
121,9,7701,3,7701,2203,191,5525,191,9
122,9,4126,3,4126,53069,191,132642,191,9
123,9,9528,3,9528,60146,191,150522,191,9
124,9,1853,3,1853,55409,191,138585,191,9
125,9,11149,3,11149,8678,191,21674,191,9
