column1,Benefit_per_order,Order_City,Order_Country,Order_Customer_Id,order_date_DateOrders,Order_Id,Order_Item_Cardprod_Id,Order_Item_Discount,Order_Item_Discount_Rate,Order_Item_Id,Order_Item_Product_Price,Order_Item_Profit_Ratio,Order_Item_Quantity,Order_Item_Total,Order_Profit_Per_Order,Order_Region,Order_State,Order_Status,Order_Zipcode,Sales,Type,,,,,,,,,,,,,,,,,,,,,,,
0,91.25,Bekasi,Indonesia,20755,56:00.0,77202,1360,13.109999656677246,0.039999999,180517,327.75,0.28999999165534973,1,314.6400146,91.25,Southeast Asia,Java Occidental,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
1,-249.0899963,Bikaner,India,19492,27:00.0,75939,1360,16.389999389648438,0.050000001,179254,327.75,-0.800000012,1,311.3599854,-249.0899963,South Asia,Rajastán,PENDING,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
2,-247.7799988,Bikaner,India,19491,06:00.0,75938,1360,18.030000686645508,0.059999999,179253,327.75,-0.800000012,1,309.7200012,-247.7799988,South Asia,Rajastán,CLOSED,NULL,327.75,CASH,,,,,,,,,,,,,,,,,,,,,,,
3,22.860000610351562,Townsville,Australia,19490,45:00.0,75937,1360,22.940000534057617,0.07,179252,327.75,0.079999998,1,304.8099976,22.86000061,Oceania,Queensland,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
4,134.2100067138672,Townsville,Australia,19489,24:00.0,75936,1360,29.5,0.090000004,179251,327.75,0.44999998807907104,1,298.25,134.2100067,Oceania,Queensland,PENDING_PAYMENT,NULL,327.75,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
5,18.579999923706055,Toowoomba,Australia,19488,03:00.0,75935,1360,32.779998779296875,0.10000000149011612,179250,327.75,0.059999999,1,294.980011,18.57999992,Oceania,Queensland,CANCELED,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
6,95.18000030517578,Guangzhou,China,19487,42:00.0,75934,1360,39.33000183105469,0.11999999731779099,179249,327.75,0.33000001311302185,1,288.4200134,95.18000031,Eastern Asia,Guangdong,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
7,68.43000030517578,Guangzhou,China,19486,21:00.0,75933,1360,42.61000061035156,0.12999999523162842,179248,327.75,0.23999999463558197,1,285.1400146,68.43000031,Eastern Asia,Guangdong,PROCESSING,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
8,133.72000122070312,Guangzhou,China,19485,00:00.0,75932,1360,49.15999984741211,0.15000000596046448,179247,327.75,0.47999998927116394,1,278.5899963,133.7200012,Eastern Asia,Guangdong,CLOSED,NULL,327.75,CASH,,,,,,,,,,,,,,,,,,,,,,,
9,132.14999389648438,Guangzhou,China,19484,39:00.0,75931,1360,52.439998626708984,0.1599999964237213,179246,327.75,0.47999998927116394,1,275.3099976,132.1499939,Eastern Asia,Guangdong,CLOSED,NULL,327.75,CASH,,,,,,,,,,,,,,,,,,,,,,,
10,130.5800018310547,Tokio,Japón,19483,18:00.0,75930,1360,55.720001220703125,0.17000000178813934,179245,327.75,0.47999998927116394,1,272.0299988,130.5800018,Eastern Asia,Tokio,SUSPECTED_FRAUD,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
11,45.689998626708984,Manado,Indonesia,19482,57:00.0,75929,1360,59,0.18000000715255737,179244,327.75,0.17000000178813934,1,268.7600098,45.68999863,Southeast Asia,Célebes Septentrional,PENDING,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
12,21.760000228881836,Manado,Indonesia,19481,36:00.0,75928,1360,65.55000305175781,0.20000000298023224,179243,327.75,0.079999998,1,262.2000122,21.76000023,Southeast Asia,Célebes Septentrional,PENDING,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
13,24.579999923706055,Sangli,India,19480,15:00.0,75927,1360,81.94000244140625,0.25,179242,327.75,0.10000000149011612,1,245.8099976,24.57999992,South Asia,Maharashtra,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
14,16.389999389648438,Sangli,India,19479,54:00.0,75926,1360,0,0,179241,327.75,0.050000001,1,327.75,16.38999939,South Asia,Maharashtra,PROCESSING,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
15,-259.5799866,Sangli,India,19478,33:00.0,75925,1360,3.2799999713897705,0.01,179240,327.75,-0.800000012,1,324.4700012,-259.5799866,South Asia,Maharashtra,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
16,-246.3600006,Seúl,Corea del Sur,19477,12:00.0,75924,1360,6.559999942779541,0.019999999552965164,179239,327.75,-0.769999981,1,321.2000122,-246.3600006,Eastern Asia,Seúl,PENDING_PAYMENT,NULL,327.75,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
17,23.84000015258789,Jabalpur,India,19476,51:00.0,75923,1360,9.829999923706055,0.029999999329447746,179238,327.75,0.079999998,1,317.9200134,23.84000015,South Asia,Madhya Pradesh,CLOSED,NULL,327.75,CASH,,,,,,,,,,,,,,,,,,,,,,,
18,102.26000213623047,Jabalpur,India,19475,30:00.0,75922,1360,13.109999656677246,0.039999999,179237,327.75,0.33000001311302185,1,314.6400146,102.2600021,South Asia,Madhya Pradesh,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
19,87.18000030517578,Jabalpur,India,19474,09:00.0,75921,1360,16.389999389648438,0.050000001,179236,327.75,0.2800000011920929,1,311.3599854,87.18000031,South Asia,Madhya Pradesh,PENDING_PAYMENT,NULL,327.75,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
20,154.86000061035156,Jabalpur,India,19473,48:00.0,75920,1360,18.030000686645508,0.059999999,179235,327.75,0.5,1,309.7200012,154.8600006,South Asia,Madhya Pradesh,PROCESSING,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
21,82.30000305175781,Jabalpur,India,19472,27:00.0,75919,1360,22.940000534057617,0.07,179234,327.75,0.27000001072883606,1,304.8099976,82.30000305,South Asia,Madhya Pradesh,PENDING,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
22,22.37000084,Geelong,Australia,19471,06:00.0,75918,1360,29.5,0.090000004,179233,327.75,0.079999998,1,298.25,22.37000084,Oceania,Victoria,PENDING,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
23,17.700000762939453,Geelong,Australia,19470,45:00.0,75917,1360,32.779998779296875,0.10000000149011612,179232,327.75,0.059999999,1,294.980011,17.70000076,Oceania,Victoria,CANCELED,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
24,90.27999877929688,Brisbane,Australia,19469,24:00.0,75916,1360,39.33000183105469,0.11999999731779099,179231,327.75,0.3100000023841858,1,288.4200134,90.27999878,Oceania,Queensland,SUSPECTED_FRAUD,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
25,131.1699981689453,Mandurah,Australia,19468,03:00.0,75915,1360,42.61000061035156,0.12999999523162842,179230,327.75,0.46000000834465027,1,285.1400146,131.1699982,Oceania,Australia Occidental,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
26,90.54000091552734,Mandurah,Australia,19467,42:00.0,75914,1360,49.15999984741211,0.15000000596046448,179229,327.75,0.33000001311302185,1,278.5899963,90.54000092,Oceania,Australia Occidental,PENDING,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
27,82.58999633789062,Guilin,China,19466,21:00.0,75913,1360,52.439998626708984,0.1599999964237213,179228,327.75,0.30000001192092896,1,275.3099976,82.58999634,Eastern Asia,Guangxi,PENDING_PAYMENT,NULL,327.75,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
28,-17.13999939,Guilin,China,19465,00:00.0,75912,1360,55.720001220703125,0.17000000178813934,179227,327.75,-0.059999999,1,272.0299988,-17.13999939,Eastern Asia,Guangxi,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
29,23.649999618530273,Guilin,China,19464,39:00.0,75911,1360,59,0.18000000715255737,179226,327.75,0.090000004,1,268.7600098,23.64999962,Eastern Asia,Guangxi,PROCESSING,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
30,73.41999816894531,Guilin,China,19463,18:00.0,75910,1360,65.55000305175781,0.20000000298023224,179225,327.75,0.2800000011920929,1,262.2000122,73.41999817,Eastern Asia,Guangxi,ON_HOLD,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
31,113.06999969482422,Delhi,India,19462,57:00.0,75909,1360,81.94000244140625,0.25,179224,327.75,0.46000000834465027,1,245.8099976,113.0699997,South Asia,Delhi,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
32,24.579999923706055,Delhi,India,19461,36:00.0,75908,1360,0,0,179223,327.75,0.079999998,1,327.75,24.57999992,South Asia,Delhi,PENDING_PAYMENT,NULL,327.75,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
33,-97.33999634,Suzhou,China,19460,15:00.0,75907,1360,3.2799999713897705,0.01,179222,327.75,-0.300000012,1,324.4700012,-97.33999634,Eastern Asia,Gansu,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
34,-425.5799866,Suzhou,China,19459,54:00.0,75906,1360,6.559999942779541,0.019999999552965164,179221,327.75,-1.330000043,1,321.2000122,-425.5799866,Eastern Asia,Gansu,PENDING_PAYMENT,NULL,327.75,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
35,152.60000610351562,Singapur,Singapur,19458,33:00.0,75905,1360,9.829999923706055,0.029999999329447746,179220,327.75,0.47999998927116394,1,317.9200134,152.6000061,Southeast Asia,Singapur,PENDING_PAYMENT,NULL,327.75,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
36,151.02999877929688,Hubli,India,19457,12:00.0,75904,1360,13.109999656677246,0.039999999,179219,327.75,0.47999998927116394,1,314.6400146,151.0299988,South Asia,Karnataka,CLOSED,NULL,327.75,CASH,,,,,,,,,,,,,,,,,,,,,,,
37,62.27000045776367,Wollongong,Australia,19456,51:00.0,75903,1360,16.389999389648438,0.050000001,179218,327.75,0.20000000298023224,1,311.3599854,62.27000046,Oceania,Nueva Gales del Sur,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
38,35,Wollongong,Australia,19455,30:00.0,75902,1360,18.030000686645508,0.059999999,179217,327.75,0.10999999940395355,1,309.7200012,35,Oceania,Nueva Gales del Sur,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
39,57.29999923706055,Wollongong,Australia,19454,09:00.0,75901,1360,22.940000534057617,0.07,179216,327.75,0.1899999976158142,1,304.8099976,57.29999924,Oceania,Nueva Gales del Sur,CANCELED,NULL,327.75,TRANSFER,,,,,,,,,,,,,,,,,,,,,,,
40,143.16000366210938,Singapur,Singapur,19453,48:00.0,75900,1360,29.5,0.090000004,179215,327.75,0.47999998927116394,1,298.25,143.1600037,Southeast Asia,Singapur,PENDING_PAYMENT,NULL,327.75,PAYMENT,,,,,,,,,,,,,,,,,,,,,,,
41,135.69000244140625,Singapur,Singapur,19452,27:00.0,75899,1360,32.779998779296875,0.10000000149011612,179214,327.75,0.46000000834465027,1,294.980011,135.6900024,Southeast Asia,Singapur,COMPLETE,NULL,327.75,DEBIT,,,,,,,,,,,,,,,,,,,,,,,
42,132.6699981689453,Medan,Indonesia,19451,05:00.0,75898,1360,39.33000183105469,0.11999999731779099,179213,327.75,0.46000000834465027,1,288.4200134,132.6699982,Southeast Asia,Sumatra Septentrional,CLOSED,NULL,327.75,CASH,,,,,,,,,,,,,,,,,,,,,,,
