column1,Days_for_shipping_real,Days_for_shipment_scheduled,Delivery_Status,Late_delivery_risk,shipping_date_DateOrders,Shipping_Mode,Market,Order_Id
0,3,4,Advance shipping,0,2018-02-03 22:56:00.0000000,Standard Class,Pacific Asia,77202
1,5,4,Late delivery,1,2018-01-18 12:27:00.0000000,Standard Class,Pacific Asia,75939
2,4,4,Shipping on time,0,2018-01-17 12:06:00.0000000,Standard Class,Pacific Asia,75938
3,3,4,Advance shipping,0,2018-01-16 11:45:00.0000000,Standard Class,Pacific Asia,75937
4,2,4,Advance shipping,0,2018-01-15 11:24:00.0000000,Standard Class,Pacific Asia,75936
5,6,4,Shipping canceled,0,2018-01-19 11:03:00.0000000,Standard Class,Pacific Asia,75935
6,2,1,Late delivery,1,2018-01-15 10:42:00.0000000,First Class,Pacific Asia,75934
7,2,1,Late delivery,1,2018-01-15 10:21:00.0000000,First Class,Pacific Asia,75933
8,3,2,Late delivery,1,2018-01-16 10:00:00.0000000,Second Class,Pacific Asia,75932
9,2,1,Late delivery,1,2018-01-15 09:39:00.0000000,First Class,Pacific Asia,75931
10,6,2,Shipping canceled,0,2018-01-19 09:18:00.0000000,Second Class,Pacific Asia,75930
11,5,2,Late delivery,1,2018-01-18 08:57:00.0000000,Second Class,Pacific Asia,75929
12,4,2,Late delivery,1,2018-01-17 08:36:00.0000000,Second Class,Pacific Asia,75928
13,2,1,Late delivery,1,2018-01-15 08:15:00.0000000,First Class,Pacific Asia,75927
14,2,1,Late delivery,1,2018-01-15 07:54:00.0000000,First Class,Pacific Asia,75926
15,2,1,Late delivery,1,2018-01-15 07:33:00.0000000,First Class,Pacific Asia,75925
16,5,2,Late delivery,1,2018-01-18 07:12:00.0000000,Second Class,Pacific Asia,75924
17,2,1,Late delivery,1,2018-01-15 06:51:00.0000000,First Class,Pacific Asia,75923
18,2,1,Late delivery,1,2018-01-15 06:30:00.0000000,First Class,Pacific Asia,75922
19,0,0,Shipping on time,0,2018-01-13 18:09:00.0000000,Same Day,Pacific Asia,75921
20,0,0,Shipping on time,0,2018-01-13 17:48:00.0000000,Same Day,Pacific Asia,75920
21,5,4,Late delivery,1,2018-01-18 05:27:00.0000000,Standard Class,Pacific Asia,75919
22,4,2,Late delivery,1,2018-01-17 05:06:00.0000000,Second Class,Pacific Asia,75918
23,3,2,Shipping canceled,0,2018-01-16 04:45:00.0000000,Second Class,Pacific Asia,75917
24,2,2,Shipping canceled,0,2018-01-15 04:24:00.0000000,Second Class,Pacific Asia,75916
25,6,2,Late delivery,1,2018-01-19 04:03:00.0000000,Second Class,Pacific Asia,75915
26,5,2,Late delivery,1,2018-01-18 03:42:00.0000000,Second Class,Pacific Asia,75914
27,4,4,Shipping on time,0,2018-01-17 03:21:00.0000000,Standard Class,Pacific Asia,75913
28,3,4,Advance shipping,0,2018-01-16 03:00:00.0000000,Standard Class,Pacific Asia,75912
29,2,4,Advance shipping,0,2018-01-15 02:39:00.0000000,Standard Class,Pacific Asia,75911
30,6,4,Late delivery,1,2018-01-19 02:18:00.0000000,Standard Class,Pacific Asia,75910
31,5,4,Late delivery,1,2018-01-18 01:57:00.0000000,Standard Class,Pacific Asia,75909
32,4,4,Shipping on time,0,2018-01-17 01:36:00.0000000,Standard Class,Pacific Asia,75908
33,2,1,Late delivery,1,2018-01-15 01:15:00.0000000,First Class,Pacific Asia,75907
34,2,1,Late delivery,1,2018-01-15 00:54:00.0000000,First Class,Pacific Asia,75906
35,2,1,Late delivery,1,2018-01-15 00:33:00.0000000,First Class,Pacific Asia,75905
36,2,1,Late delivery,1,2018-01-15 00:12:00.0000000,First Class,Pacific Asia,75904
37,2,1,Late delivery,1,2018-01-14 23:51:00.0000000,First Class,Pacific Asia,75903
38,1,0,Late delivery,1,2018-01-13 11:30:00.0000000,Same Day,Pacific Asia,75902
39,1,0,Shipping canceled,0,2018-01-13 11:09:00.0000000,Same Day,Pacific Asia,75901
40,1,0,Late delivery,1,2018-01-13 10:48:00.0000000,Same Day,Pacific Asia,75900
41,1,0,Late delivery,1,2018-01-13 10:27:00.0000000,Same Day,Pacific Asia,75899
42,4,4,Shipping on time,0,2018-01-16 22:05:00.0000000,Standard Class,Pacific Asia,75898
